"","Sample","cluster"
"1","106.bam",1
"2","110.bam",3
"3","11.bam",4
"4","123.bam",3
"5","124.bam",3
"6","125.bam",3
"7","12.bam",3
"8","13.bam",4
"9","141.bam",4
"10","143.bam",4
"11","144.bam",4
"12","145.bam",4
"13","147.bam",4
"14","148.bam",4
"15","14.bam",3
"16","150.bam",3
"17","151.bam",3
"18","153.bam",3
"19","155.bam",3
"20","15.bam",2
"21","161.bam",3
"22","162.bam",3
"23","163.bam",4
"24","164.bam",3
"25","165.bam",3
"26","180.bam",2
"27","181.bam",2
"28","182.bam",2
"29","183.bam",2
"30","184.bam",2
"31","206.bam",2
"32","207.bam",2
"33","208.bam",2
"34","209.bam",2
"35","210.bam",2
"36","21.bam",3
"37","231.bam",1
"38","233.bam",1
"39","234.bam",1
"40","235.bam",4
"41","236.bam",4
"42","238.bam",1
"43","240.bam",1
"44","261.bam",2
"45","263.bam",2
"46","267.bam",4
"47","268.bam",3
"48","269.bam",4
"49","274.bam",3
"50","281.bam",2
"51","282.bam",2
"52","283.bam",2
"53","284.bam",3
"54","285.bam",3
"55","291.bam",2
"56","292.bam",2
"57","293.bam",2
"58","294.bam",2
"59","295.bam",2
"60","301.bam",3
"61","302.bam",2
"62","304.bam",2
"63","305.bam",3
"64","307.bam",3
"65","308.bam",2
"66","31.bam",4
"67","321.bam",2
"68","323.bam",4
"69","326.bam",4
"70","327.bam",4
"71","328.bam",4
"72","32.bam",3
"73","330.bam",2
"74","331.bam",4
"75","333.bam",3
"76","335.bam",4
"77","336.bam",4
"78","338.bam",3
"79","339.bam",4
"80","340.bam",3
"81","34.bam",3
"82","354.bam",3
"83","355.bam",3
"84","35.bam",4
"85","361.bam",2
"86","362.bam",2
"87","363.bam",2
"88","364.bam",2
"89","365.bam",2
"90","36.bam",2
"91","37.bam",2
"92","386.bam",2
"93","388.bam",4
"94","389.bam",2
"95","38.bam",2
"96","390.bam",2
"97","391.bam",2
"98","392.bam",3
"99","393.bam",2
"100","398.bam",3
"101","39.bam",2
"102","400.bam",2
"103","401.bam",2
"104","402.bam",4
"105","404.bam",2
"106","406.bam",3
"107","407.bam",2
"108","40.bam",2
"109","41.bam",1
"110","420.bam",4
"111","422.bam",4
"112","424.bam",1
"113","42.bam",3
"114","430.bam",4
"115","431.bam",3
"116","432.bam",4
"117","434.bam",4
"118","436.bam",3
"119","437.bam",3
"120","438.bam",3
"121","439.bam",3
"122","43.bam",3
"123","440.bam",3
"124","441.bam",1
"125","442.bam",1
"126","443.bam",1
"127","444.bam",4
"128","44.bam",3
"129","451.bam",4
"130","452.bam",3
"131","453.bam",2
"132","454.bam",4
"133","455.bam",2
"134","45.bam",2
"135","466.bam",1
"136","468.bam",1
"137","469.bam",4
"138","470.bam",1
"139","471.bam",4
"140","472.bam",2
"141","473.bam",4
"142","474.bam",2
"143","492.bam",3
"144","493.bam",4
"145","494.bam",3
"146","500.bam",3
"147","502.bam",3
"148","503.bam",1
"149","515_1.bam",3
"150","515.bam",4
"151","517_1.bam",2
"152","517.bam",1
"153","518_1.bam",4
"154","518.bam",1
"155","519.bam",4
"156","530.bam",3
"157","531.bam",4
"158","532.bam",3
"159","540.bam",2
"160","541.bam",2
"161","543.bam",2
"162","544.bam",2
"163","546.bam",1
"164","547.bam",4
"165","548.bam",2
"166","549.bam",4
"167","555.bam",2
"168","557.bam",2
"169","558.bam",2
"170","559.bam",2
"171","55.bam",3
"172","565.bam",4
"173","566.bam",3
"174","567.bam",2
"175","568.bam",4
"176","569.bam",2
"177","56.bam",4
"178","57.bam",3
"179","581.bam",1
"180","582.bam",1
"181","583.bam",1
"182","584.bam",4
"183","58.bam",3
"184","595.bam",4
"185","596.bam",4
"186","597.bam",2
"187","598.bam",2
"188","599.bam",2
"189","59.bam",1
"190","600.bam",2
"191","601.bam",2
"192","603.bam",2
"193","604.bam",2
"194","609.bam",2
"195","615.bam",1
"196","616.bam",4
"197","617.bam",1
"198","618.bam",1
"199","619.bam",3
"200","620.bam",1
"201","621.bam",4
"202","622.bam",2
"203","623.bam",2
"204","624.bam",2
"205","630.bam",4
"206","632.bam",2
"207","633.bam",2
"208","634.bam",1
"209","645.bam",2
"210","646.bam",2
"211","648.bam",2
"212","649.bam",2
"213","650.bam",1
"214","651.bam",1
"215","652.bam",1
"216","653.bam",1
"217","666.bam",4
"218","667.bam",3
"219","668.bam",4
"220","670.bam",3
"221","676.bam",1
"222","677.bam",3
"223","678.bam",1
"224","679.bam",1
"225","680.bam",1
"226","686.bam",1
"227","687.bam",4
"228","688.bam",4
"229","689.bam",4
"230","690.bam",1
"231","691.bam",2
"232","692.bam",2
"233","693.bam",2
"234","694.bam",2
"235","701.bam",1
"236","704.bam",1
"237","705.bam",1
"238","711.bam",3
"239","714.bam",1
"240","715.bam",1
"241","721.bam",4
"242","722.bam",4
"243","723.bam",1
"244","724.bam",2
"245","725.bam",4
"246","731.bam",1
"247","732.bam",2
"248","733.bam",2
"249","734.bam",2
"250","735.bam",2
"251","741.bam",3
"252","742.bam",1
"253","743.bam",1
"254","744.bam",1
"255","745.bam",4
"256","756.bam",4
"257","757.bam",4
"258","758.bam",3
"259","759.bam",3
"260","760.bam",4
"261","81.bam",2
"262","82.bam",3
"263","83.bam",1
"264","84.bam",3
"265","85.bam",4
"266","91.bam",2
"267","93.bam",4
"268","94.bam",3
"269","95.bam",4
